Date,ozone,AOD,year,month,day
160117,266.26,0.107,2016,1,17
160118,278.0,0.08,2016,1,18
160119,281.178,0.136,2016,1,19
160120,266.26,0.132,2016,1,20
160121,273.033,0.072,2016,1,21
160122,266.26,0.107,2016,1,22
160123,270.922,0.033,2016,1,23
160124,266.26,0.107,2016,1,24
160125,260.1,0.09,2016,1,25
160126,266.26,0.171,2016,1,26
160127,274.1,0.107,2016,1,27
160128,278.367,0.072,2016,1,28
160129,266.26,0.276,2016,1,29
160130,261.767,0.08,2016,1,30
160131,266.26,0.107,2016,1,31
160201,252.978,0.049,2016,2,1
160202,263.637,0.336,2016,2,2
160203,254.2,0.092,2016,2,3
160204,263.637,0.193,2016,2,4
160205,263.637,0.168,2016,2,5
160206,261.5,0.09,2016,2,6
160207,263.637,0.193,2016,2,7
160208,248.289,0.193,2016,2,8
160209,263.637,0.193,2016,2,9
160210,274.933,0.073,2016,2,10
160211,263.637,0.279,2016,2,11
160212,267.944,0.167,2016,2,12
160213,252.989,0.177,2016,2,13
160214,263.637,0.193,2016,2,14
160215,288.611,0.079,2016,2,15
160216,263.637,0.193,2016,2,16
160217,262.822,0.097,2016,2,17
160218,263.637,0.487,2016,2,18
160219,267.0,0.122,2016,2,19
160220,269.267,0.344,2016,2,20
160221,263.637,0.193,2016,2,21
160222,268.456,0.176,2016,2,22
160223,263.637,0.193,2016,2,23
160224,253.822,0.089,2016,2,24
160225,263.637,0.193,2016,2,25
160226,255.267,0.134,2016,2,26
160227,263.637,0.519,2016,2,27
160228,276.478,0.195,2016,2,28
160301,270.244,0.218,2016,3,1
160302,278.299,0.266,2016,3,2
160303,277.067,0.155,2016,3,3
160304,278.299,0.252,2016,3,4
160305,259.144,0.131,2016,3,5
160306,278.299,0.882,2016,3,6
160307,265.567,0.252,2016,3,7
160308,278.299,0.252,2016,3,8
160309,278.299,0.252,2016,3,9
160310,294.178,0.252,2016,3,10
160311,278.299,0.252,2016,3,11
160312,324.011,0.252,2016,3,12
160313,278.299,0.252,2016,3,13
160314,270.2,0.042,2016,3,14
160315,278.299,0.355,2016,3,15
160316,263.289,0.278,2016,3,16
160317,269.033,0.252,2016,3,17
160318,278.299,0.361,2016,3,18
160319,279.033,0.149,2016,3,19
160320,284.2,0.252,2016,3,20
160321,289.933,0.252,2016,3,21
160322,278.299,0.28,2016,3,22
160323,284.333,0.11,2016,3,23
160324,284.256,0.25,2016,3,24
160325,295.167,0.229,2016,3,25
160326,290.078,0.191,2016,3,26
160327,277.444,0.26,2016,3,27
160328,281.489,0.139,2016,3,28
160329,278.299,0.252,2016,3,29
160330,256.9,0.234,2016,3,30
160331,250.422,0.252,2016,3,31
160401,252.811,0.143,2016,4,1
160402,262.222,0.203,2016,4,2
160403,271.811,0.353,2016,4,3
160404,271.289,0.106,2016,4,4
160405,268.667,0.239,2016,4,5
160406,261.111,0.111,2016,4,6
160407,279.185,0.299,2016,4,7
160408,255.967,0.299,2016,4,8
160409,279.185,0.299,2016,4,9
160410,279.067,0.33,2016,4,10
160411,264.211,0.299,2016,4,11
160412,265.767,0.709,2016,4,12
160413,261.978,0.134,2016,4,13
160414,279.185,0.299,2016,4,14
160415,282.0,0.316,2016,4,15
160416,270.122,0.484,2016,4,16
160417,293.922,0.316,2016,4,17
160418,292.444,0.303,2016,4,18
160419,288.556,0.46,2016,4,19
160420,286.722,0.194,2016,4,20
160421,296.567,0.299,2016,4,21
160422,303.222,0.303,2016,4,22
160423,279.185,0.696,2016,4,23
160424,292.767,0.299,2016,4,24
160425,298.911,0.262,2016,4,25
160426,292.233,0.208,2016,4,26
160427,294.422,0.19,2016,4,27
160428,290.533,0.378,2016,4,28
